                          TRS-80 value
        TRS-80 PEEK(N)   returned from   Apple PEEK(-16384)
Key         where N =        PEEK(N)          returns
 @           14337               1              192
 A           14337               2              193
 B           14337               4              194
 C           14337               8              195
 D           14337              16              196
 E           14337              32              197
 F           14337              16              198
 G           14337             128              199
 H           14338               1              200
 I           14338               2              201
 J           14338               4              202
 K           14338               8              203
 L           14338              16              204
 M           14338              32              205
 N           14338              64              206
 O           14338             128              207
 P           14340               1              208
 Q           14340               2              209
 R           14340               4              210
 S           14340               8              211
 T           14340              16              212
 U           14340              32              213
 V           14340              64              214
 W           14340             128              215
 X           14344               1              216
 Y           14344               2              217
 Z           14344               4              218
 0           14352               1              176
1 !          14352               2            177/161
2 “          14352               4            178/162
3 #          14352               8            179/163
4 $          14352              16            180/164
5 %          14352              32            181/165
6 &          14352              64            182/166
7 ‘          14352             128            183/167
8 (          14368               1            184/168
9 )          14368               2            185/169
* :          14368               4            170/186
+ ;          14368               8            171/187
 <           14368              16            188/172
= -          14368              32            189/173
> .          14368              64            190/174
? /          14368             128            191/175
ENTER        14400               1              141
 (RETURN)
CLEAR        14400               2         no equivalent
BREAK        14400               4         no equivalent
↑ (^)        14400               8              222     
 ↓           14400              16         no equivalent
 ←           14400              32              136
 →           14400              64              149
SPACE        14400             128              160
SHIFT        14464               1       does not register

Table 4. Apple and TRS-80 Peek addresses.
